ECO,OpeningCategory,OpeningType,Games,BlackWins,BlackWinRate,AvgWhiteElo,AvgBlackElo,EloDiff
C00e,C,King's Pawn Opening,175,80.0,0.46,2187.97,2148.01,39.96
C11i,C,King's Pawn Opening,499,246.5,0.49,2250.04,2227.67,22.37
B34a,B,King's Pawn Opening,26,13.5,0.52,1796.0,1907.69,-111.69
D02p,D,Queen's Pawn Opening,1090,477.0,0.44,2222.07,2204.82,17.25
D31p,D,Queen's Pawn Opening,42,19.5,0.46,1908.07,1852.48,55.59
D10g,D,Queen's Pawn Opening,399,187.0,0.47,2202.5,2206.76,-4.26
A47,A,Queen's Pawn Opening,1496,816.5,0.55,2209.3,2272.59,-63.29
D31l,D,Queen's Pawn Opening,43,28.0,0.65,2167.7,2205.65,-37.95
E07,E,Queen's Pawn Opening,374,146.5,0.39,2256.0,2122.45,133.55
D00c,D,Queen's Pawn Opening,2595,1208.5,0.47,2137.0,2136.97,0.03
D47h,D,Queen's Pawn Opening,108,49.0,0.45,2221.5,2198.88,22.62
D03e,D,Queen's Pawn Opening,96,36.0,0.38,2170.54,2052.27,118.27
B22n,B,King's Pawn Opening,123,67.0,0.54,2215.37,2303.77,-88.4
B22s,B,King's Pawn Opening,203,91.0,0.45,2191.78,2159.85,31.93
D31f,D,Queen's Pawn Opening,50,21.5,0.43,2276.6,2196.7,79.9
D85k,D,Queen's Pawn Opening,227,90.5,0.4,2338.24,2303.74,34.5
B22o,B,King's Pawn Opening,212,100.0,0.47,2281.01,2278.64,2.37
C78m,C,King's Pawn Opening,187,80.5,0.43,2374.95,2339.73,35.22
B88,B,King's Pawn Opening,99,55.0,0.56,2119.46,2253.1,-133.64
D85c,D,Queen's Pawn Opening,60,28.0,0.47,2153.63,2159.23,-5.6
C54h,C,King's Pawn Opening,1016,468.5,0.46,2346.24,2329.5,16.74
D05i,D,Queen's Pawn Opening,16,9.0,0.56,2176.81,2259.06,-82.25
B34q,B,King's Pawn Opening,65,40.0,0.62,1778.26,1916.23,-137.97
B20,B,King's Pawn Opening,2804,1385.0,0.49,2174.37,2184.03,-9.66
A81,A,Queen's Pawn Opening,379,179.0,0.47,2258.16,2254.19,3.97
A40m,A,Queen's Pawn Opening,445,213.5,0.48,2145.94,2170.05,-24.11
A42f,A,Queen's Pawn Opening,69,36.5,0.53,2131.84,2158.75,-26.91
D23m,D,Queen's Pawn Opening,92,41.0,0.45,2397.08,2370.03,27.05
B33a,B,King's Pawn Opening,99,56.5,0.57,2131.71,2267.03,-135.32
D37g,D,Queen's Pawn Opening,91,45.5,0.5,2088.87,2074.35,14.52
D04g,D,Queen's Pawn Opening,408,229.5,0.56,2183.67,2265.94,-82.27
B23m,B,King's Pawn Opening,1243,603.0,0.49,2220.24,2255.65,-35.41
D35v,D,Queen's Pawn Opening,168,62.0,0.37,2212.7,2116.42,96.28
D30f,D,Queen's Pawn Opening,660,307.5,0.47,2292.07,2268.28,23.79
D02n,D,Queen's Pawn Opening,925,376.5,0.41,2211.68,2166.0,45.68
C83,C,King's Pawn Opening,211,72.0,0.34,2440.24,2401.1,39.14
C29b,C,King's Pawn Opening,50,17.0,0.34,1959.34,1941.72,17.62
C10b,C,King's Pawn Opening,73,34.0,0.47,2102.52,2051.18,51.34
E18l,E,Queen's Pawn Opening,10,4.0,0.4,1980.5,1960.4,20.1
D42l,D,Queen's Pawn Opening,12,7.0,0.58,2204.17,2338.17,-134.0
B33h,B,King's Pawn Opening,461,205.0,0.44,2228.18,2215.8,12.38
E16e,E,Queen's Pawn Opening,72,39.0,0.54,2356.17,2454.28,-98.11
B51b,B,King's Pawn Opening,237,114.5,0.48,2237.28,2277.71,-40.43
C54j,C,King's Pawn Opening,147,69.0,0.47,2206.8,2212.18,-5.38
D13c,D,Queen's Pawn Opening,11,6.5,0.59,2111.91,2038.09,73.82
D36u,D,Queen's Pawn Opening,41,19.0,0.46,2062.02,2076.85,-14.83
B12m,B,King's Pawn Opening,1559,723.0,0.46,2254.39,2254.04,0.35
A18,A,Other,395,125.5,0.32,2215.94,2074.42,141.52
B50q,B,King's Pawn Opening,108,45.5,0.42,2135.15,2168.43,-33.28
C45b,C,King's Pawn Opening,20,5.0,0.25,1784.0,1790.8,-6.8
B08g,B,King's Pawn Opening,128,66.0,0.52,2026.23,2130.55,-104.32
B34w,B,King's Pawn Opening,48,29.5,0.61,2028.77,2088.81,-60.04
B13r,B,King's Pawn Opening,193,110.5,0.57,2245.3,2326.48,-81.18
C67d,C,King's Pawn Opening,568,256.5,0.45,2407.82,2430.46,-22.64
C48c,C,King's Pawn Opening,43,16.5,0.38,2167.53,2092.14,75.39
A31,A,Other,409,193.5,0.47,2198.35,2198.68,-0.33
